fid,data_id,iso,event_id_c,event_id_n,event_date,year,time_preci,event_type,sub_event_,actor1,assoc_acto,inter1,interactio,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precis,source,source_sca,notes,fatalities,timestamp,iso3,field_29,field_30,field_31,fid_2,OBJECTID,REGION_2,LREGION,SHAPE_Leng,SHAPE_Area,Secteur,Statut,Nø,Secteur_1,Groupe1,Groupe2,Groupe3,Groupe4,Analyse,icon_url
"1","8013276","466",MLI4682,"4682",31-Dec-20,"2020","1",Strategic developments,Looting/property destruction,Civilians (Mali),,"7","27",Western Africa,Mali,Mopti,Bandiagara,Bandiagara,Bandiagara,14.3493,-3.6102,"2",Le Pays Dogon,Subnational,Property destruction,"On 31 December 2020, suspected Katiba Macina (JNIM) militants destroyed a telecommunications antenna in the area of Bandiagara (Bandiagara, Mopti).","0","1622068036",MLI,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"2","8013281","466",MLI4616,"4616",31-Dec-20,"2020","1",Violence against civilians,Attack,Dan Na Ambassagou,,"4","47",Western Africa,Mali,Mopti,Bankass,Segue,Dounde,13.9581,-3.7103,"2",AMAP,National,"On 31 December 2020, Dozo militiamen (presumably Dana Ambassagou) killed the head of Gombossagou health administration at a checkpoint near Dounde (Bankass, Mopti).","1","1622068036",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"3","8013281","466",MLI4616,"4616",31-Dec-20,"2020","1",Violence against civilians,Attack,Civilians (Mali),Health Workers (Mali),"7","47",Western Africa,Mali,Mopti,Bankass,Segue,Dounde,13.9581,-3.7103,"2",AMAP,National,"On 31 December 2020, Dozo militiamen (presumably Dana Ambassagou) killed the head of Gombossagou health administration at a checkpoint near Dounde (Bankass, Mopti).","1","1622068036",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"4","8013282","466",MLI4684,"4684",31-Dec-20,"2020","1",Violence against civilians,Attack,Civilians (Mali),,"7","27",Western Africa,Mali,Segou,Niono,Dogofry,Dogofri,14.8059,-6.0182,"1",Twitter,New media,"On 31 December 2020, presumed Katiba Macina (JNIM) militants opened fire against the village of Dogofri (Niono, Segou). Villagers were reportedly wounded.","0","1622068036",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
"5","8358287","466",MLI4683,"4683",31-Dec-20,"2020","1",Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Mali (2020-2021),,"1","12",Western Africa,Mali,Mopti,Douentza,Mondoro,Boulikessi,14.7953,-1.3181,"1","FAMAMali; Reelle Afrique;New media-National",New media-National,"On 31 December 2020, an IED exploded during the passage of a Malian army vehicle in Boulikessi (Douentza, Mopti). No casualties were reported. The device was likely planted by JNIM militants.","0","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"6","7453936","466",MLI4679,"4679",29-Dec-20,"2020","1",Battles,Armed clash,Unidentified Armed Group (Mali),,"3","33",Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,"1","Azawad News; MSA Azawad;New media",New media,"On 29 December 2020, unknown gunmen opened fire against an MSA (Plateforme) officer in attempt to assassinate him in the city of Gao (Gao, Gao). The individual targeted escaped unharmed, but his vehicle sustained damages from gunfire.","0","1610409622",MLI,,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"7","8013318","466",MLI4681,"4681",29-Dec-20,"2020","1",Violence against civilians,Attack,Islamic State (West Africa) - Greater Sahara Faction,,"2","27",Western Africa,Mali,Gao,Gao,N'tillit,Marsi,16.1118,-0.3408,"1",Azawad News,New media,"On 29 December 2020, ISGS militants reportedly attacked the village of Marsi (Gao, Gao). Two civilians were killed and houses set ablaze.","2","1622068037",MLI,,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"8","8013318","466",MLI4681,"4681",29-Dec-20,"2020","1",Violence against civilians,Attack,Civilians (Mali),,"7","27",Western Africa,Mali,Gao,Gao,N'tillit,Marsi,16.1118,-0.3408,"1",Azawad News,New media,"On 29 December 2020, ISGS militants reportedly attacked the village of Marsi (Gao, Gao). Two civilians were killed and houses set ablaze.","2","1622068037",MLI,,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"9","8013326","466",MLI4678,"4678",29-Dec-20,"2020","1",Violence against civilians,Abduction/forced disappearance,Civilians (Mali),Teachers (Mali),"7","27",Western Africa,Mali,Mopti,Douentza,Dallah,Dallah,15.1053,-2.6403,"2","Whatsapp; Koro Kibaru; Kibaru; Reelle Afrique;New media-National",New media-National,"On 29 December 2020, presumed Katiba Macina (JNIM) militants abducted 6 teachers between Dala and Douentza (Douentza, Mopti). The abductees were reportedly released on December 31.","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"10","8013330","466",MLI4680,"4680",29-Dec-20,"2020","1",Explosions/Remote violence,Grenade,Unidentified Armed Group (Mali),,"3","37",Western Africa,Mali,Mopti,Koro,Koro,Koro,14.0778,-3.0832,"1","Koro Kibaru; Le Pays Dogon; AMAP;New media-Subnational",New media-Subnational,"On 29 December 2020, two people were killed and one severely wounded by the explosion of a grenade in Koro (Koro, Mopti). The exact circumstances remain unclear, the event was interchangeably reported as an accident and dispute.","2","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
